Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Source Code,FAO Source,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","4.556436","X","International reliable sources","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","5.197091","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2009","2009","%","3.766787","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2010","2010","%","3.334247","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2011","2011","%","1.778281","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2012","2012","%","1.503023","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2013","2013","%","2.108199","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","1.754956","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2015","2015","%","1.519068","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","2.572264","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or c"
