iso3c,date,value,indicatorID,indicator,iso2c,country
AFG,1991,11.2180004119873,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1992,11.2930002212524,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1993,11.4420003890991,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1994,11.4700002670288,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1995,11.4770002365112,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1996,11.4989995956421,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1997,11.4799995422363,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1998,11.4720001220703,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,1999,11.5469999313354,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2000,11.5170001983643,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2001,11.5129995346069,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2002,11.5959997177124,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2003,11.6040000915527,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2004,11.5279998779297,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2005,11.4289999008179,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2006,11.2239999771118,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2007,11.0459995269775,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2008,48.1300010681152,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AF,Afghanistan
AFG,2008,10.9849996566772,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2008,2.49449992179871,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AF,Afghanistan
AFG,2009,11.3870000839233,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
