"","countrycode","countryname","regioncode","coveragetype","year","datayear","datatype","isinterpolated","usemicrodata","ppp","povertyline","mean","headcount","povertygap","povertygapsq","watts","gini","median","mld","polarization","population","decile1","decile2","decile3","decile4","decile5","decile6","decile7","decile8","decile9","decile10"
"1","ALB","Albania","ECA","N",1996,1996,"consumption",0,1,58.16801,37.6,187.8427,0.9995166,0.8358405,0.7058206,1.925573,0.2701034,165.0867,0.1191043,NA,3.168033,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"2","ALB","Albania","ECA","N",2002,2002,"consumption",0,1,58.16801,37.6,191.988,0.9984308,0.832922,0.7058573,1.949945,0.3173898,158.363,0.1648116,NA,3.05101,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544
"3","ALB","Albania","ECA","N",2005,2005,"consumption",0,1,58.16801,37.6,217.0335,0.9975174,0.8111291,0.6717434,1.817039,0.3059566,184.6848,0.1544128,NA,3.011487,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434
"4","ALB","Albania","ECA","N",2008,2008,"consumption",0,1,58.16801,37.6,237.5353,0.9967825,0.794982,0.6473064,1.722074,0.2998467,198.7757,0.1488934,NA,2.947314,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446
"5","ALB","Albania","ECA","N",2012,2012,"consumption",0,1,58.16801,37.6,225.2692,0.9988598,0.8035725,0.658397,1.763512,0.2896048,195.0467,0.1384171,NA,2.900401,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
"6","ALB","Albania","ECA","N",2014,2014,"consumption",0,1,58.16801,37.6,240.0998,0.9981976,0.7904076,0.6448515,1.759875,0.345989,196.3965,0.1986616,NA,2.889104,0.02853,0.04174,0.05223,0.06312,0.07512,0.08933,0.1059,0.1272,0.1613,0.2554
"7","ALB","Albania","ECA","N",2015,2015,"consumption",0,1,58.16801,37.6,242.8672,0.9989998,0.7877623,0.6394894,1.72701,0.3291291,199.3308,0.1774243,NA,2.880703,0.03133,0.04524,0.05543,0.06559,0.07608,0.08893,0.1047,0.125,0.1587,0.2489
"8","ALB","Albania","ECA","N",2016,2016,"consumption",0,1,58.16801,37.6,247.6767,0.9990037,0.7838042,0.6345325,1.71777,0.3370824,203.5201,0.1876481,NA,2.876101,0.02962,0.04366,0.05427,0.06419,0.0754,0.08895,0.1053,0.1275,0.1608,0.2503
"9","ALB","Albania","ECA","N",2017,2017,"consumption",0,1,58.16801,37.6,245.9924,0.9982271,0.785354,0.6360026,1.718689,0.3317109,201.9203,0.1816586,NA,2.873457,0.03074,0.04445,0.05469,0.06499,0.07604,0.08907,0.1056,0.127,0.1597,0.2477
"10","DZA","Algeria","MNA","N",1988,1988,"consumption",0,0,31.77229,37.6,200.4312,0.9945003,0.8351218,0.7150693,2.051039,0.4019491,149.1409,0.2817323,0.3079208,24.443467,0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281
"11","DZA","Algeria","MNA","N",1995,1995,"consumption",0,0,31.77229,37.6,190.9572,0.99999,0.99998,0.99997,2.025819,0.3533005,154.4681,0.2085176,0.3133712,28.757785,0.02872,0.04094,0.05222,0.06329,0.0748,0.08756,0.1029,0.1234,0.1573,0.2689
"12","DZA","Algeria","MNA","N",2011,2011.17,"consumption",0,0,31.77229,37.6,247.7322,0.9992993,0.783403,0.6285632,1.662801,0.2761573,215.9956,0.1253313,0.2260456,36.661444,0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286
"13","AGO","Angola","SSA","N",2000,2000.21,"consumption",0,1,73.83312,37.6,136.7125,0.9924481,0.8848281,0.8021026,2.639436,0.5195689,86.47519,0.5125765,NA,16.395473,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"14","AGO","Angola","SSA","N",2008,2008.5,"consumption",0,1,73.83312,37.6,120.7577,0.9985649,0.894906,0.8113499,2.560208,0.4271551,87.02627,0.3116315,NA,21.695634,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"15","AGO","Angola","SSA","N",2018,2018.17,"consumption",0,1,73.83312,37.6,97.44291,0.9973757,0.9193745,0.8545795,2.942373,0.5127211,60.79884,0.4778896,NA,30.809762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ARG","Argentina","LAC","U",1980,1980,"income",0,0,2.768382,37.6,796.8967,0.8090558,0.427736,0.2719421,0.7471454,0.4083086,609.356,0.2918472,0.3728986,23.122595,0.0201,0.03286,0.04493,0.05698,0.06969,0.08395,0.1012,0.1247,0.1638,0.3018
"17","ARG","Argentina","LAC","U",1986,1986,"income",0,0,2.768382,37.6,863.0112,0.7897059,0.4110354,0.2587975,0.7140989,0.4278756,635.2688,0.319819,0.3799595,26.23073,0.01951,0.03164,0.04318,0.05476,0.06704,0.08088,0.09776,0.1209,0.16,0.3243
"18","ARG","Argentina","LAC","U",1987,1987,"income",0,0,2.768382,37.6,788.8666,0.8228692,0.4592624,0.3035846,0.8330599,0.4527689,557.7358,0.362684,0.4058292,26.769637,0.01725,0.02884,0.04012,0.05164,0.06403,0.07815,0.09553,0.1195,0.1607,0.3442
"19","ARG","Argentina","LAC","U",1991,1991,"income",0,1,2.768382,37.6,559.907,0.9087003,0.5898989,0.4257763,1.121507,0.4676174,370.9952,0.4350875,NA,28.887229,0.01744,0.03052,0.04059,0.05002,0.06059,0.07238,0.08891,0.1141,0.1594,0.3661
"20","ARG","Argentina","LAC","U",1992,1992,"income",0,1,2.768382,37.6,564.6129,0.8971521,0.5756115,0.4136548,1.087646,0.4546809,387.9738,0.390243,NA,29.352243,0.016,0.03,0.0407,0.05124,0.06211,0.07652,0.09419,0.1206,0.1657,0.3429
"21","ARG","Argentina","LAC","U",1993,1993,"income",0,1,2.768382,37.6,566.0145,0.8994502,0.5694095,0.4074795,1.078743,0.4485629,396.681,0.3879424,NA,29.809452,0.01484,0.02967,0.04097,0.05217,0.06421,0.07898,0.09671,0.1234,0.167,0.332
"22","ARG","Argentina","LAC","U",1994,1994,"income",0,1,2.768382,37.6,558.6381,0.9041858,0.5798559,0.4186065,1.094711,0.459168,383.2049,0.4110283,NA,30.26059,0.01496,0.02882,0.03955,0.05068,0.06316,0.07716,0.09502,0.121,0.1651,0.3445
"23","ARG","Argentina","LAC","U",1995,1995,"income",0,1,2.768382,37.6,530.8553,0.8996551,0.6074621,0.4532539,1.194287,0.489044,354.3608,0.4811141,NA,30.705908,0.01132,0.0263,0.03686,0.04734,0.05912,0.07357,0.09075,0.1168,0.1681,0.3698
"24","ARG","Argentina","LAC","U",1996,1996,"income",0,1,2.768382,37.6,520.0662,0.9074523,0.6131857,0.461675,1.216465,0.4952443,339.9869,0.5106798,NA,31.145811,0.01034,0.02481,0.03556,0.04642,0.05834,0.07303,0.09193,0.1199,0.1709,0.3688
"25","ARG","Argentina","LAC","U",1997,1997,"income",0,1,2.768382,37.6,544.8122,0.8946673,0.5970077,0.4453173,1.180834,0.4911048,363.9732,0.4894943,NA,31.579645,0.01083,0.02465,0.03519,0.04685,0.05938,0.07308,0.09274,0.1208,0.1728,0.3637
"26","ARG","Argentina","LAC","U",1998,1998,"income",0,1,2.768382,37.6,529.1501,0.9031639,0.6134054,0.464028,1.248244,0.5073364,333.0621,0.5092632,NA,32.009566,0.01065,0.02343,0.03365,0.04435,0.05636,0.07065,0.09055,0.1196,0.1703,0.3805
"27","ARG","Argentina","LAC","U",1999,1999,"income",0,1,2.768382,37.6,504.4869,0.9104664,0.62263,0.472378,1.265556,0.4979204,330.8386,0.4997418,NA,32.43832,0.01071,0.02418,0.03464,0.04522,0.05796,0.07291,0.09187,0.1209,0.1711,0.3705
"28","ARG","Argentina","LAC","U",2000,2000,"income",0,1,2.768382,37.6,493.4414,0.9100658,0.631535,0.4856305,1.321072,0.5106396,314.6525,0.5289445,NA,32.867357,0.009485,0.02237,0.03249,0.04327,0.05599,0.07175,0.09107,0.1221,0.1745,0.377
"29","ARG","Argentina","LAC","U",2001,2001,"income",0,1,2.768382,37.6,454.2571,0.9203375,0.66074,0.521505,1.419941,0.5334311,280.7319,0.6141587,NA,33.297967,0.006526,0.0193,0.03017,0.04074,0.05345,0.06916,0.08999,0.1206,0.1752,0.3948
"30","ARG","Argentina","LAC","U",2002,2002,"income",0,1,2.768382,37.6,319.208,0.9595014,0.7476759,0.6202719,1.792879,0.5379376,192.6458,0.5756148,NA,33.728934,0.008733,0.01885,0.02899,0.04044,0.05326,0.06847,0.08687,0.1166,0.1727,0.4051
"31","ARG","Argentina","LAC","U",2003,2003,"income",0,1,2.768382,37.6,449.362,0.928932,0.6583031,0.5130583,1.444964,0.5120186,282.8672,0.5090035,NA,34.159485,0.01011,0.02178,0.03183,0.04335,0.05579,0.07123,0.0925,0.1227,0.1723,0.3784
"32","ARG","Argentina","LAC","U",2004,2004,"income",0,1,2.768382,37.6,485.1607,0.9172552,0.6263589,0.4755524,1.323055,0.4859111,328.8506,0.451451,NA,34.588886,0.01146,0.02349,0.03454,0.04643,0.06004,0.07585,0.09581,0.1257,0.1736,0.3531
"33","ARG","Argentina","LAC","U",2005,2005,"income",0,1,2.768382,37.6,533.4941,0.9050247,0.5967908,0.4431155,1.222083,0.4795253,365.4397,0.4379411,NA,35.015695,0.01194,0.02461,0.03549,0.04758,0.06089,0.0766,0.09665,0.1247,0.1717,0.3499
"34","ARG","Argentina","LAC","U",2006,2006,"income",0,1,2.768382,37.6,591.6978,0.8879487,0.5581283,0.4028819,1.114139,0.4670954,416.9194,0.4216779,NA,35.43947,0.01183,0.02559,0.03719,0.04934,0.06299,0.07912,0.09968,0.1261,0.1697,0.3385
