countrycode,countryname,regioncode,coveragetype,year,datayear,datatype,isinterpolated,usemicrodata,ppp,povertyline,mean,headcount,povertygap,povertygapsq,watts,gini,median,mld,polarization,population,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,diff
AGO,Angola,SSA,N,2000,2000.21,consumption,0,1,73.83312,2.1,136.7125,0.3687509,0.1653372,0.1008741,0.2841268,0.5195689,86.47519,0.5125765,NA,16.440924,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025,0.027342499999999992
AGO,Angola,SSA,N,2008,2008.5,consumption,0,1,73.83312,1.8,120.7577,0.2747371,0.08570931,0.03850784,0.1180686,0.4271552,87.02627,0.3116315,NA,21.75942,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231,0.03026780000000001
AGO,Angola,SSA,N,2018,2018.17,consumption,0,1,73.83312,20.7,97.44291,0.9919149,0.8569769,0.7569645,2.348129,0.5127211,60.79884,0.4778896,NA,30.809762,0.0133,0.02428,0.03333,0.04343,0.05584,0.06981,0.08869,0.1157,0.1594,0.3962,6.54700000000008e-4
ALB,Albania,ECA,N,1996,1996,consumption,0,1,58.16801,4.2,187.8427,0.2987679,0.0716307,0.02535173,0.09017823,0.2701034,165.0867,0.1191043,NA,3.168033,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122,0.027633399999999975
ALB,Albania,ECA,N,2002,2002,consumption,0,1,58.16801,3.8,191.988,0.2743416,0.06480681,0.02295771,0.0818563,0.3173898,158.363,0.1648116,NA,3.0510100000000002,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544,0.022807100000000025
ALB,Albania,ECA,N,2005,2005,consumption,0,1,58.16801,4.8,217.0335,0.3306473,0.08674957,0.03306884,0.1118099,0.3059566,184.6848,0.1544128,NA,3.011487,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434,0.020141799999999987
ALB,Albania,ECA,N,2008,2008,consumption,0,1,58.16801,4.7,237.5353,0.2449103,0.05387166,0.01785861,0.06660179,0.2998467,198.7757,0.1488934,NA,2.947314,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446,0.0179879
ALB,Albania,ECA,N,2012,2012,consumption,0,1,58.16801,4.9,225.2692,0.3084785,0.07337332,0.02685151,0.09404934,0.2896048,195.0467,0.1384171,NA,2.900401,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293,0.01800389999999996
ALB,Albania,ECA,N,2014,2014,consumption,0,1,58.16801,20.5,240.0998,0.9664282,0.6240986,0.4424947,1.160335,0.345989,196.3965,0.1986616,NA,2.889104,0.02853,0.04174,0.05223,0.06312,0.07512,0.08933,0.1059,0.1272,0.1613,0.2554,0.001763799999999982
ALB,Albania,ECA,N,2015,2015,consumption,0,1,58.16801,21.7,242.8672,0.9736212,0.6383919,0.4540532,1.182514,0.3291291,199.3308,0.1774243,NA,2.880703,0.03133,0.04524,0.05543,0.06559,0.07608,0.08893,0.1047,0.125,0.1587,0.2489,0.001285099999999928
